id,categorie,sous_categorie,difficulte,question,choix_a,choix_b,choix_c,choix_d,bonne_reponse,explication,reference,statut_revision,tags
DRAFT-0001,Pharmacologie et thérapeutique,Anticoagulants,facile,Quel énoncé est correct concernant Antivitamines K ?,le suivi repose surtout sur la kaliémie,la surveillance n'est jamais nécessaire,la dose est fixe pour tous les patients,le suivi de l'INR guide l'adaptation du traitement,D,le suivi de l'INR guide l'adaptation du traitement. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,anticoagulants,antivitamines k"
DRAFT-0002,Pharmacologie et thérapeutique,Anticoagulants,moyen,"Dans une situation d'examen, quel point faut-il retenir à propos de Antivitamines K ?",la surveillance n'est jamais nécessaire,la dose est fixe pour tous les patients,le suivi de l'INR guide l'adaptation du traitement,le suivi repose surtout sur la kaliémie,C,le suivi de l'INR guide l'adaptation du traitement. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,anticoagulants,antivitamines k"
DRAFT-0003,Pharmacologie et thérapeutique,Anticoagulants,difficile,Quelle proposition correspond le mieux à Antivitamines K ?,la dose est fixe pour tous les patients,le suivi de l'INR guide l'adaptation du traitement,le suivi repose surtout sur la kaliémie,la surveillance n'est jamais nécessaire,B,le suivi de l'INR guide l'adaptation du traitement. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,anticoagulants,antivitamines k"
DRAFT-0004,Pharmacologie et thérapeutique,Anticoagulants,moyen,Quel élément est prioritaire lorsque l'on évalue Antivitamines K ?,le suivi de l'INR guide l'adaptation du traitement,le suivi repose surtout sur la kaliémie,la surveillance n'est jamais nécessaire,la dose est fixe pour tous les patients,A,le suivi de l'INR guide l'adaptation du traitement. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,anticoagulants,antivitamines k"
DRAFT-0005,Pharmacologie et thérapeutique,Anticoagulants,facile,Quelle affirmation est la plus juste au sujet de Antivitamines K ?,le suivi repose surtout sur la kaliémie,la surveillance n'est jamais nécessaire,la dose est fixe pour tous les patients,le suivi de l'INR guide l'adaptation du traitement,D,le suivi de l'INR guide l'adaptation du traitement. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,anticoagulants,antivitamines k"
DRAFT-0006,Pharmacologie et thérapeutique,Anticoagulants,facile,"Pour une révision rapide, quelle réponse décrit correctement Antivitamines K ?",la surveillance n'est jamais nécessaire,la dose est fixe pour tous les patients,le suivi de l'INR guide l'adaptation du traitement,le suivi repose surtout sur la kaliémie,C,le suivi de l'INR guide l'adaptation du traitement. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,anticoagulants,antivitamines k"
DRAFT-0007,Pharmacologie et thérapeutique,Anticoagulants,moyen,Quel choix serait attendu pour une question centrée sur Antivitamines K ?,la dose est fixe pour tous les patients,le suivi de l'INR guide l'adaptation du traitement,le suivi repose surtout sur la kaliémie,la surveillance n'est jamais nécessaire,B,le suivi de l'INR guide l'adaptation du traitement. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,anticoagulants,antivitamines k"
DRAFT-0008,Pharmacologie et thérapeutique,Anticoagulants,difficile,Quelle notion est associée de façon pertinente à Antivitamines K ?,le suivi de l'INR guide l'adaptation du traitement,le suivi repose surtout sur la kaliémie,la surveillance n'est jamais nécessaire,la dose est fixe pour tous les patients,A,le suivi de l'INR guide l'adaptation du traitement. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,anticoagulants,antivitamines k"
DRAFT-0009,Pharmacologie et thérapeutique,Anticoagulants,moyen,Quelle réponse doit être privilégiée concernant Antivitamines K ?,le suivi repose surtout sur la kaliémie,la surveillance n'est jamais nécessaire,la dose est fixe pour tous les patients,le suivi de l'INR guide l'adaptation du traitement,D,le suivi de l'INR guide l'adaptation du traitement. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,anticoagulants,antivitamines k"
DRAFT-0010,Pharmacologie et thérapeutique,Anticoagulants,facile,Quel rappel est utile pour maîtriser Antivitamines K ?,la surveillance n'est jamais nécessaire,la dose est fixe pour tous les patients,le suivi de l'INR guide l'adaptation du traitement,le suivi repose surtout sur la kaliémie,C,le suivi de l'INR guide l'adaptation du traitement. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,anticoagulants,antivitamines k"
DRAFT-0011,Pharmacologie et thérapeutique,Cardiologie,moyen,Quel énoncé est correct concernant Inhibiteurs de l'enzyme de conversion ?,ils s'administrent uniquement par voie inhalée,une toux sèche persistante peut être un effet indésirable,ils provoquent toujours une hypoglycémie,ils sont des antibiotiques,B,une toux sèche persistante peut être un effet indésirable. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,cardiologie,inhibiteurs de l'enzyme de conversion"
DRAFT-0012,Pharmacologie et thérapeutique,Cardiologie,difficile,"Dans une situation d'examen, quel point faut-il retenir à propos de Inhibiteurs de l'enzyme de conversion ?",une toux sèche persistante peut être un effet indésirable,ils provoquent toujours une hypoglycémie,ils sont des antibiotiques,ils s'administrent uniquement par voie inhalée,A,une toux sèche persistante peut être un effet indésirable. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,cardiologie,inhibiteurs de l'enzyme de conversion"
